,network,Vs,Es,secs,tangCounts,timings,sepCounts
16,constructed_100_130,83,113,719.82,"(2, 6)-(3, 22)-(4, 19)-(5, 13)-(6, 0)-(7, 0)-(8, 0)",3.89-6.54-24.95-505.14,38-737-9757-99388
17,constructed_100_140,76,116,218.51,"(2, 6)-(3, 12)-(4, 12)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",3.83-3.76-11.59-144.35,31-494-5416-46031
18,constructed_100_150,89,139,484.31,"(2, 3)-(3, 13)-(4, 18)-(5, 11)-(6, 0)-(7, 0)-(8, 0)",3.91-7.2-35.81-391.02,33-567-6767-63023
19,constructed_100_160,90,150,332.43,"(2, 3)-(3, 14)-(4, 9)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",3.78-5.43-18.11-255.55,31-496-5476-46969
20,constructed_100_170,93,163,384.31,"(2, 5)-(3, 9)-(4, 7)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",4.15-8.27-37.6-240.95,29-440-4654-38536
21,constructed_100_180,98,178,642.89,"(2, 6)-(3, 14)-(4, 9)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",4.6-8.11-42.56-521.81,36-654-8032-75310
22,constructed_100_190,98,188,275.28,"(2, 3)-(3, 9)-(4, 11)-(5, 8)-(6, 0)-(7, 0)-(8, 0)",5.17-9.56-39.48-188.4,26-353-3359-25239
23,constructed_100_200,93,193,126.89,"(2, 1)-(3, 7)-(4, 5)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",3.73-5.73-18.78-91.6,22-255-2091-13647
24,constructed_100_210,95,205,110.31,"(2, 2)-(3, 8)-(4, 4)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",3.75-6.05-18.87-70.41,23-279-2386-16151
25,constructed_100_220,97,217,123.57,"(2, 1)-(3, 6)-(4, 7)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",4.45-5.47-17.95-85.9,22-258-2151-14292
26,constructed_100_230,99,229,93.59,"(2, 3)-(3, 9)-(4, 5)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",3.66-4.84-11.37-46.91,19-206-1647-10697
27,constructed_100_240,94,234,83.38,"(2, 1)-(3, 4)-(4, 3)-(5, 7)-(6, 0)-(7, 0)-(8, 0)",3.27-4.67-17.09-55.35,22-241-1772-9966
28,constructed_100_250,99,249,63.15,"(2, 1)-(3, 5)-(4, 4)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",4.23-5.64-11.26-30.57,14-117-754-4059
29,constructed_100_260,94,254,64.25,"(2, 1)-(3, 3)-(4, 7)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.91-5.39-12.35-36.09,15-123-747-3759
30,constructed_100_270,97,267,88.39,"(2, 1)-(3, 4)-(4, 5)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",4.33-6.65-16.82-59.04,18-168-1104-5797
31,constructed_100_280,99,279,38.7,"(2, 1)-(3, 5)-(4, 5)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.17-3.75-7.69-22.35,14-108-627-3053
32,constructed_100_290,97,287,54.2,"(2, 1)-(3, 4)-(4, 3)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",3.22-3.88-11.25-32.56,15-122-723-3489
33,constructed_100_300,98,298,53.65,"(2, 1)-(3, 4)-(4, 4)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",4.28-5.67-11.14-30.15,14-106-589-2699
