,0,1,2,3,4,5,6,7,8,9,10,11
OLQDR,1,1,1,1,1,1,1,1,1,1,1,1
OLQVL,1,1,1,1,1,1,1,1,1,1,1,1
OLQVR,1,1,1,1,1,1,1,1,1,1,1,1
PDA,1,1,1,1,1,1,1,1,1,1,1,1
PDB,1,1,1,1,1,1,1,1,1,1,1,1
PDEL,1,1,1,1,1,1,1,1,1,1,1,1
PDER,1,1,1,1,1,1,1,1,1,1,1,1
PHAL,1,1,1,1,1,1,1,1,1,1,1,1
PHAR,1,1,1,1,1,1,1,1,1,1,1,1
PHBL,1,1,1,1,1,1,1,1,1,1,1,1
PHBR,1,1,1,1,1,1,1,1,1,1,1,1
PHCL,1,1,1,1,1,1,1,1,1,1,1,1
PHCR,1,1,1,1,1,1,1,1,1,1,1,1
PLML,1,1,1,1,1,1,1,1,1,1,1,1
PLMR,1,1,1,1,1,1,1,1,1,1,1,1
PLNL,1,1,1,1,1,1,1,1,1,1,1,1
PLNR,1,1,1,1,1,1,1,1,1,1,1,1
PQR,1,1,1,1,1,1,1,1,1,1,1,1
PVCL,1,1,1,1,1,1,1,1,1,1,1,1
PVCR,1,1,1,1,1,1,1,1,1,1,1,1
PVDL,1,1,1,1,1,1,1,1,1,1,1,1
PVDR,1,1,1,1,1,1,1,1,1,1,1,1
PVM,1,1,1,1,1,1,1,1,1,1,1,1
PVNL,1,1,1,1,1,1,1,1,1,1,1,1
PVNR,1,1,1,1,1,1,1,1,1,1,1,1
PVPL,1,1,1,1,1,1,1,1,1,1,1,1
PVPR,1,1,1,1,1,1,1,1,1,1,1,1
PVQL,1,1,1,1,1,1,1,1,1,1,1,1
PVQR,1,1,1,1,1,1,1,1,1,1,1,1
PVR,1,1,1,1,1,1,1,1,1,1,1,1
PVT,1,1,1,1,1,1,1,1,1,1,1,1
PVWL,1,1,1,1,1,1,1,1,1,1,1,1
PVWR,1,1,1,1,1,1,1,1,1,1,1,1
RIAL,1,1,1,1,1,1,1,1,1,1,1,1
RIAR,1,1,1,1,1,1,1,1,1,1,1,1
RIBL,1,1,1,1,1,1,1,1,1,1,1,1
RIBR,1,1,1,1,1,1,1,1,1,1,1,1
RICL,1,1,1,1,1,1,1,1,1,1,1,1
RICR,1,1,1,1,1,1,1,1,1,1,1,1
RID,1,1,1,1,1,1,1,1,1,1,1,1
RIFL,1,1,1,1,1,1,1,1,1,1,1,1
RIFR,1,1,1,1,1,1,1,1,1,1,1,1
RIGL,1,1,1,1,1,1,1,1,1,1,1,1
RIGR,1,1,1,1,1,1,1,1,1,1,1,1
RIH,1,1,1,1,1,1,1,1,1,1,1,1
RIML,1,1,1,1,1,1,1,1,1,1,1,1
RIMR,1,1,1,1,1,1,1,1,1,1,1,1
RIPL,1,1,1,1,1,1,1,1,1,1,1,1
RIPR,1,1,1,1,1,1,1,1,1,1,1,1
RIR,1,1,1,1,1,1,1,1,1,1,1,1
RIS,1,1,1,1,1,1,1,1,1,1,1,1
RIVL,1,1,1,1,1,1,1,1,1,1,1,1
RIVR,1,1,1,1,1,1,1,1,1,1,1,1
RMDDL,1,1,1,1,1,1,1,1,1,1,1,1
RMDDR,1,1,1,1,1,1,1,1,1,1,1,1
RMDL,1,1,1,1,1,1,1,1,1,1,1,1
RMDR,1,1,1,1,1,1,1,1,1,1,1,1
RMDVL,1,1,1,1,1,1,1,1,1,1,1,1
RMDVR,1,1,1,1,1,1,1,1,1,1,1,1
RMED,1,1,1,1,1,1,1,1,1,1,1,1
RMEL,1,1,1,1,1,1,1,1,1,1,1,1
RMER,1,1,1,1,1,1,1,1,1,1,1,1
RMEV,1,1,1,1,1,1,1,1,1,1,1,1
RMFL,1,1,1,1,1,1,1,1,1,1,1,1
RMFR,1,1,1,1,1,1,1,1,1,1,1,1
RMGL,1,1,1,1,1,1,1,1,1,1,1,1
RMGR,1,1,1,1,1,1,1,1,1,1,1,1
RMHL,1,1,1,1,1,1,1,1,1,1,1,1
RMHR,1,1,1,1,1,1,1,1,1,1,1,1
SAADL,1,1,1,1,1,1,1,1,1,1,1,1
SAADR,1,1,1,1,1,1,1,1,1,1,1,1
SAAVL,1,1,1,1,1,1,1,1,1,1,1,1
SAAVR,1,1,1,1,1,1,1,1,1,1,1,1
SABD,1,1,1,1,1,1,1,1,1,1,1,1
SABVL,1,1,1,1,1,1,1,1,1,1,1,1
SABVR,1,1,1,1,1,1,1,1,1,1,1,1
SDQL,1,1,1,1,1,1,1,1,1,1,1,1
SDQR,1,1,1,1,1,1,1,1,1,1,1,1
SIADL,1,1,1,1,1,1,1,1,1,1,1,1
SIADR,1,1,1,1,1,1,1,1,1,1,1,1
SIAVL,1,1,1,1,1,1,1,1,1,1,1,1
SIAVR,1,1,1,1,1,1,1,1,1,1,1,1
SIBDL,1,1,1,1,1,1,1,1,1,1,1,1
SIBDR,1,1,1,1,1,1,1,1,1,1,1,1
SIBVL,1,1,1,1,1,1,1,1,1,1,1,1
SIBVR,1,1,1,1,1,1,1,1,1,1,1,1
SMBDL,1,1,1,1,1,1,1,1,1,1,1,1
SMBDR,1,1,1,1,1,1,1,1,1,1,1,1
SMBVL,1,1,1,1,1,1,1,1,1,1,1,1
SMBVR,1,1,1,1,1,1,1,1,1,1,1,1
SMDDL,1,1,1,1,1,1,1,1,1,1,1,1
SMDDR,1,1,1,1,1,1,1,1,1,1,1,1
SMDVL,1,1,1,1,1,1,1,1,1,1,1,1
SMDVR,1,1,1,1,1,1,1,1,1,1,1,1
URADL,1,1,1,1,1,1,1,1,1,1,1,1
URADR,1,1,1,1,1,1,1,1,1,1,1,1
URAVL,1,1,1,1,1,1,1,1,1,1,1,1
URAVR,1,1,1,1,1,1,1,1,1,1,1,1
URBL,1,1,1,1,1,1,1,1,1,1,1,1
URBR,1,1,1,1,1,1,1,1,1,1,1,1
URXL,1,1,1,1,1,1,1,1,1,1,1,1
URXR,1,1,1,1,1,1,1,1,1,1,1,1
URYDL,1,1,1,1,1,1,1,1,1,1,1,1
URYDR,1,1,1,1,1,1,1,1,1,1,1,1
URYVL,1,1,1,1,1,1,1,1,1,1,1,1
URYVR,1,1,1,1,1,1,1,1,1,1,1,1
VA01,1,1,1,1,1,1,1,1,1,1,1,1
VA02,1,1,1,1,1,1,1,1,1,1,1,1
VA03,1,1,1,1,1,1,1,1,1,1,1,1
VA04,1,1,1,1,1,1,1,1,1,1,1,1
VA05,1,1,1,1,1,1,1,1,1,1,1,1
VA06,1,1,1,1,1,1,1,1,1,1,1,1
VA07,1,1,1,1,1,1,1,1,1,1,1,1
VA08,1,1,1,1,1,1,1,1,1,1,1,1
VA09,1,1,1,1,1,1,1,1,1,1,1,1
VA10,1,1,1,1,1,1,1,1,1,1,1,1
VA11,1,1,1,1,1,1,1,1,1,1,1,1
VA12,1,1,1,1,1,1,1,1,1,1,1,1
VB01,1,1,1,1,1,1,1,1,1,1,1,1
VB02,1,1,1,1,1,1,1,1,1,1,1,1
VB03,1,1,1,1,1,1,1,1,1,1,1,1
VB04,1,1,1,1,1,1,1,1,1,1,1,1
VB05,1,1,1,1,1,1,1,1,1,1,1,1
VB06,1,1,1,1,1,1,1,1,1,1,1,1
VB07,1,1,1,1,1,1,1,1,1,1,1,1
VB08,1,1,1,1,1,1,1,1,1,1,1,1
VB09,1,1,1,1,1,1,1,1,1,1,1,1
VB10,1,1,1,1,1,1,1,1,1,1,1,1
VB11,1,1,1,1,1,1,1,1,1,1,1,1
VC01,1,1,1,1,1,1,1,1,1,1,1,1
VC02,1,1,1,1,1,1,1,1,1,1,1,1
VC03,1,1,1,1,1,1,1,1,1,1,1,1
VC04,1,1,1,1,1,1,1,1,1,1,1,1
VC05,1,1,1,1,1,1,1,1,1,1,1,1
VC06,1,1,1,1,1,1,1,1,1,1,1,1
VD01,1,1,1,1,1,1,1,1,1,1,1,1
VD02,1,1,1,1,1,1,1,1,1,1,1,1
VD03,1,1,1,1,1,1,1,1,1,1,1,1
VD04,1,1,1,1,1,1,1,1,1,1,1,1
VD05,1,1,1,1,1,1,1,1,1,1,1,1
VD06,1,1,1,1,1,1,1,1,1,1,1,1
VD07,1,1,1,1,1,1,1,1,1,1,1,1
VD08,1,1,1,1,1,1,1,1,1,1,1,1
VD09,1,1,1,1,1,1,1,1,1,1,1,1
VD10,1,1,1,1,1,1,1,1,1,1,1,1
VD11,1,1,1,1,1,1,1,1,1,1,1,1
VD12,1,1,1,1,1,1,1,1,1,1,1,1
VD13,1,1,1,1,1,1,1,1,1,1,1,1
order,2,3,4,5,6,7,8,9,10,11,12,13
