,network,Vs,Es,secs,tangCounts,timings,sepCounts
17,constructed_100_140,76,116,171.27,"(2, 6)-(3, 12)-(4, 12)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",3.54-3.77-5.47-95.04,31-494-5416-46031
18,constructed_100_150,89,139,274.34,"(2, 3)-(3, 13)-(4, 18)-(5, 11)-(6, 0)-(7, 0)-(8, 0)",2.83-3.1-6.21-209.74,33-567-6767-63023
19,constructed_100_160,90,150,197.43,"(2, 3)-(3, 14)-(4, 9)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",2.82-3.22-5.06-131.91,31-496-5476-46969
20,constructed_100_170,93,163,201.18,"(2, 5)-(3, 9)-(4, 7)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",2.9-3.24-4.33-87.37,29-440-4654-38536
21,constructed_100_180,98,178,387.35,"(2, 6)-(3, 14)-(4, 9)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.95-3.22-7.29-288.8,36-654-8032-75310
22,constructed_100_190,98,188,82.87,"(2, 3)-(3, 9)-(4, 11)-(5, 8)-(6, 0)-(7, 0)-(8, 0)",2.42-2.63-4.05-35.15,26-353-3359-25239
23,constructed_100_200,93,193,33.79,"(2, 1)-(3, 7)-(4, 5)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",2.89-3.09-3.47-16.61,22-255-2091-13647
24,constructed_100_210,95,205,49.22,"(2, 2)-(3, 8)-(4, 4)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",2.9-3.08-3.72-26.48,23-279-2386-16151
25,constructed_100_220,97,217,39.28,"(2, 1)-(3, 6)-(4, 7)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",2.91-3.07-3.54-18.75,22-258-2151-14292
26,constructed_100_230,99,229,48.99,"(2, 3)-(3, 9)-(4, 5)-(5, 6)-(6, 0)-(7, 0)-(8, 0)",2.93-3.08-3.53-10.56,19-206-1647-10697
27,constructed_100_240,94,234,24.8,"(2, 1)-(3, 4)-(4, 3)-(5, 7)-(6, 0)-(7, 0)-(8, 0)",2.39-2.57-2.98-13.25,22-241-1772-9966
28,constructed_100_250,99,249,23.61,"(2, 1)-(3, 5)-(4, 4)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",2.45-2.39-2.52-3.39,14-117-754-4059
29,constructed_100_260,94,254,18.44,"(2, 1)-(3, 3)-(4, 7)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.55-2.39-2.57-3.77,15-123-747-3759
30,constructed_100_270,97,267,17.27,"(2, 1)-(3, 4)-(4, 5)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",2.96-3.14-3.5-5.74,18-168-1104-5797
31,constructed_100_280,99,279,16.08,"(2, 1)-(3, 5)-(4, 5)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.0-3.27-3.52-4.02,14-108-627-3053
32,constructed_100_290,97,287,17.45,"(2, 1)-(3, 4)-(4, 3)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",2.97-3.38-3.63-3.93,15-122-723-3489
33,constructed_100_300,98,298,15.99,"(2, 1)-(3, 4)-(4, 4)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.92-3.19-3.49-3.69,14-106-589-2699
